id,farm_id,location_id,metric_code,value,status,quality_score,recorded_at,created_at
1,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2950,normal,1.00,2024-12-30 00:00:00+00,2025-08-09 06:58:58.765837+00
2,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2590,normal,1.00,2024-12-31 00:00:00+00,2025-08-09 06:58:58.765837+00
3,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2650,normal,1.00,2025-01-01 00:00:00+00,2025-08-09 06:58:58.765837+00
4,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2370,normal,1.00,2025-01-02 00:00:00+00,2025-08-09 06:58:58.765837+00
5,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2420,normal,1.00,2025-01-03 00:00:00+00,2025-08-09 06:58:58.765837+00
6,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2550,normal,1.00,2025-01-04 00:00:00+00,2025-08-09 06:58:58.765837+00
7,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2960,normal,1.00,2025-01-05 00:00:00+00,2025-08-09 06:58:58.765837+00
8,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2950,normal,1.00,2025-01-06 00:00:00+00,2025-08-09 06:58:58.765837+00
9,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2580,normal,1.00,2025-01-07 00:00:00+00,2025-08-09 06:58:58.765837+00
10,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2650,normal,1.00,2025-01-08 00:00:00+00,2025-08-09 06:58:58.765837+00
11,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2870,normal,1.00,2025-01-09 00:00:00+00,2025-08-09 06:58:58.765837+00
12,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2860,normal,1.00,2025-01-10 00:00:00+00,2025-08-09 06:58:58.765837+00
13,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.3150,normal,1.00,2025-01-11 00:00:00+00,2025-08-09 06:58:58.765837+00
14,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2710,normal,1.00,2025-01-12 00:00:00+00,2025-08-09 06:58:58.765837+00
15,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.3020,normal,1.00,2025-01-13 00:00:00+00,2025-08-09 06:58:58.765837+00
16,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2940,normal,1.00,2025-01-14 00:00:00+00,2025-08-09 06:58:58.765837+00
17,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2810,normal,1.00,2025-01-15 00:00:00+00,2025-08-09 06:58:58.765837+00
18,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.3050,normal,1.00,2025-01-16 00:00:00+00,2025-08-09 06:58:58.765837+00
19,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.3150,normal,1.00,2025-01-17 00:00:00+00,2025-08-09 06:58:58.765837+00
20,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.3190,normal,1.00,2025-01-18 00:00:00+00,2025-08-09 06:58:58.765837+00
21,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2870,normal,1.00,2025-01-19 00:00:00+00,2025-08-09 06:58:58.765837+00
22,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.1900,normal,1.00,2025-01-20 00:00:00+00,2025-08-09 06:58:58.765837+00
23,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2120,normal,1.00,2025-01-21 00:00:00+00,2025-08-09 06:58:58.765837+00
24,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2360,normal,1.00,2025-01-22 00:00:00+00,2025-08-09 06:58:58.765837+00
25,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2820,normal,1.00,2025-01-23 00:00:00+00,2025-08-09 06:58:58.765837+00
26,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.3010,normal,1.00,2025-01-24 00:00:00+00,2025-08-09 06:58:58.765837+00
27,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2210,normal,1.00,2025-01-25 00:00:00+00,2025-08-09 06:58:58.765837+00
28,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2250,normal,1.00,2025-01-26 00:00:00+00,2025-08-09 06:58:58.765837+00
29,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2300,normal,1.00,2025-01-27 00:00:00+00,2025-08-09 06:58:58.765837+00
30,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2150,normal,1.00,2025-01-28 00:00:00+00,2025-08-09 06:58:58.765837+00
31,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2060,normal,1.00,2025-01-29 00:00:00+00,2025-08-09 06:58:58.765837+00
32,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2470,normal,1.00,2025-01-30 00:00:00+00,2025-08-09 06:58:58.765837+00
33,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2170,normal,1.00,2025-01-31 00:00:00+00,2025-08-09 06:58:58.765837+00
34,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2070,normal,1.00,2025-02-01 00:00:00+00,2025-08-09 06:58:58.765837+00
35,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2330,normal,1.00,2025-02-02 00:00:00+00,2025-08-09 06:58:58.765837+00
36,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2480,normal,1.00,2025-02-03 00:00:00+00,2025-08-09 06:58:58.765837+00
37,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2420,normal,1.00,2025-02-04 00:00:00+00,2025-08-09 06:58:58.765837+00
38,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2250,normal,1.00,2025-02-05 00:00:00+00,2025-08-09 06:58:58.765837+00
39,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2420,normal,1.00,2025-02-06 00:00:00+00,2025-08-09 06:58:58.765837+00
40,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2410,normal,1.00,2025-02-07 00:00:00+00,2025-08-09 06:58:58.765837+00
41,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2530,normal,1.00,2025-02-08 00:00:00+00,2025-08-09 06:58:58.765837+00
42,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.3580,normal,1.00,2025-02-09 00:00:00+00,2025-08-09 06:58:58.765837+00
43,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.3610,normal,1.00,2025-02-10 00:00:00+00,2025-08-09 06:58:58.765837+00
44,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2210,normal,1.00,2025-02-11 00:00:00+00,2025-08-09 06:58:58.765837+00
45,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2300,normal,1.00,2025-02-12 00:00:00+00,2025-08-09 06:58:58.765837+00
46,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2030,normal,1.00,2025-02-13 00:00:00+00,2025-08-09 06:58:58.765837+00
47,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.1640,normal,1.00,2025-02-14 00:00:00+00,2025-08-09 06:58:58.765837+00
48,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2470,normal,1.00,2025-02-15 00:00:00+00,2025-08-09 06:58:58.765837+00
49,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,0.1340,normal,1.00,2025-02-16 00:00:00+00,2025-08-09 06:58:58.765837+00
50,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2320,normal,1.00,2025-02-17 00:00:00+00,2025-08-09 06:58:58.765837+00
51,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2420,normal,1.00,2025-02-18 00:00:00+00,2025-08-09 06:58:58.765837+00
52,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2060,normal,1.00,2025-02-19 00:00:00+00,2025-08-09 06:58:58.765837+00
53,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.1680,normal,1.00,2025-02-20 00:00:00+00,2025-08-09 06:58:58.765837+00
54,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.1210,normal,1.00,2025-02-21 00:00:00+00,2025-08-09 06:58:58.765837+00
55,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.1740,normal,1.00,2025-02-22 00:00:00+00,2025-08-09 06:58:58.765837+00
56,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.1840,normal,1.00,2025-02-23 00:00:00+00,2025-08-09 06:58:58.765837+00
57,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.1770,normal,1.00,2025-02-24 00:00:00+00,2025-08-09 06:58:58.765837+00
58,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2380,normal,1.00,2025-02-25 00:00:00+00,2025-08-09 06:58:58.765837+00
59,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2240,normal,1.00,2025-02-26 00:00:00+00,2025-08-09 06:58:58.765837+00
60,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2180,normal,1.00,2025-02-27 00:00:00+00,2025-08-09 06:58:58.765837+00
61,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2550,normal,1.00,2025-02-28 00:00:00+00,2025-08-09 06:58:58.765837+00
62,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.2830,normal,1.00,2025-03-01 00:00:00+00,2025-08-09 06:58:58.765837+00
63,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.3630,normal,1.00,2025-03-02 00:00:00+00,2025-08-09 06:58:58.765837+00
64,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.0140,normal,1.00,2025-03-03 00:00:00+00,2025-08-09 06:58:58.765837+00
65,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,0.9570,normal,1.00,2025-03-04 00:00:00+00,2025-08-09 06:58:58.765837+00
66,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.1790,normal,1.00,2025-03-05 00:00:00+00,2025-08-09 06:58:58.765837+00
67,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.1770,normal,1.00,2025-03-06 00:00:00+00,2025-08-09 06:58:58.765837+00
68,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.1060,normal,1.00,2025-03-07 00:00:00+00,2025-08-09 06:58:58.765837+00
69,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.0950,normal,1.00,2025-03-08 00:00:00+00,2025-08-09 06:58:58.765837+00
70,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.0950,normal,1.00,2025-03-09 00:00:00+00,2025-08-09 06:58:58.765837+00
71,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.0760,normal,1.00,2025-03-10 00:00:00+00,2025-08-09 06:58:58.765837+00
72,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,0.9550,normal,1.00,2025-03-11 00:00:00+00,2025-08-09 06:58:58.765837+00
73,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,0.9510,normal,1.00,2025-03-12 00:00:00+00,2025-08-09 06:58:58.765837+00
74,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.0410,normal,1.00,2025-03-13 00:00:00+00,2025-08-09 06:58:58.765837+00
75,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,1.0650,normal,1.00,2025-03-14 00:00:00+00,2025-08-09 06:58:58.765837+00
76,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,0.8980,normal,1.00,2025-03-15 00:00:00+00,2025-08-09 06:58:58.765837+00
77,5c5bc271-66b8-4b72-bb5f-66a5695222df,GH1,sys_ec,0.9490,normal,1.00,2025-03-16 00:00:00+00,2025-08-09 06:58:58.765837+00
